City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
667,Cabatuan,PH,75.61,overcast clouds,10.8794,122.486,MVC Transient Room
668,Mayumba,GA,78.46,light rain,-3.432,10.6554,LIKWALE LODGE
669,Lhokseumawe,ID,78.01,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
672,Sorong,ID,81.7,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
673,Srandakan,ID,78.17,light rain,-7.9386,110.2506,Puri Brata
677,Ternate,ID,81.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
678,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
682,Morgan City,US,82.4,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
689,Makokou,GA,76.91,overcast clouds,0.5738,12.8642,Motel des voyageurs
691,Itupiranga,BR,89.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
