City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,Ancud,-41.8697,-73.8203,80.22,62,4,7.23,CL,2021-12-08 18:49:22
209,Abu Samrah,35.3029,37.1841,52.43,73,100,9.33,SY,2021-12-08 18:49:22
210,Takoradi,4.8845,-1.7554,81.1,80,6,8.23,GH,2021-12-08 18:49:22
211,Mahajanga,-15.7167,46.3167,82.42,74,20,0.0,MG,2021-12-08 18:49:23
212,Pokhara,28.2333,83.9833,55.83,37,0,5.57,NP,2021-12-08 18:49:23
213,Monmouth,40.3001,-74.1663,42.91,66,90,5.75,US,2021-12-08 18:45:45
214,Akureyri,65.6835,-18.0878,15.73,92,0,4.61,IS,2021-12-08 18:49:24
215,Umm Lajj,25.0213,37.2685,70.75,48,18,18.23,SA,2021-12-08 18:49:24
216,Pangnirtung,66.1451,-65.7125,3.2,72,75,5.75,CA,2021-12-08 18:49:24
217,Puerto Del Rosario,28.5004,-13.8627,65.95,68,40,19.57,ES,2021-12-08 18:49:25
218,Uni,57.7535,51.4923,30.11,98,100,13.06,RU,2021-12-08 18:49:25
219,Kiunga,-6.1219,141.2906,72.72,99,93,1.5,PG,2021-12-08 18:49:25
220,Karratha,-20.7377,116.8463,88.54,42,41,7.47,AU,2021-12-08 18:49:26
221,Broome,42.2506,-75.833,34.84,71,90,1.99,US,2021-12-08 18:49:26
222,Sassandra,4.95,-6.0833,80.11,82,26,7.43,CI,2021-12-08 18:49:26
223,Coihaique,-45.5752,-72.0662,71.55,40,20,5.75,CL,2021-12-08 18:48:08
224,Kisangani,0.5167,25.2,74.39,85,99,1.01,CD,2021-12-08 18:49:27
225,Vanimo,-2.6741,141.3028,77.99,88,100,5.7,PG,2021-12-08 18:49:27
226,Kabale,-1.2486,29.9899,57.09,90,100,2.39,UG,2021-12-08 18:49:27
227,Saintes,45.6667,-0.75,44.29,84,100,9.15,FR,2021-12-08 18:49:28
228,Saint-Pierre,-21.3393,55.4781,74.88,76,0,4.61,RE,2021-12-08 18:50:28
229,Minab,27.1467,57.0801,60.3,26,83,4.94,IR,2021-12-08 18:50:28
230,Cidreira,-30.1811,-50.2056,70.27,66,10,12.82,BR,2021-12-08 18:50:29
231,Lorvao,40.2594,-8.3168,51.85,83,64,11.05,PT,2021-12-08 18:50:29
232,Okoneshnikovo,54.8377,75.0834,-5.53,95,24,6.11,RU,2021-12-08 18:50:29
233,Tekkali,18.6167,84.2333,73.49,79,72,9.28,IN,2021-12-08 18:50:30
234,Corinth,37.9407,22.9573,55.69,67,19,7.56,GR,2021-12-08 18:48:47
235,Zhongshu,24.5167,103.7667,49.12,97,96,2.95,CN,2021-12-08 18:50:31
236,Ishigaki,24.3448,124.1572,71.2,61,100,17.6,JP,2021-12-08 18:50:32
237,Aswan,24.0934,32.907,61.9,27,0,11.5,EG,2021-12-08 18:50:32
238,Yerbogachen,61.2767,108.0108,-8.55,86,79,9.13,RU,2021-12-08 18:50:32
239,Camacha,33.0833,-16.3333,61.54,72,40,11.5,PT,2021-12-08 18:50:33
240,Vila Velha,-20.3297,-40.2925,75.15,92,90,14.0,BR,2021-12-08 18:50:33
241,Jalu,29.0331,21.5482,58.03,53,0,6.02,LY,2021-12-08 18:50:33
242,Ligayan,4.6533,119.4706,81.43,82,100,13.73,PH,2021-12-08 18:50:34
243,Ninghai,29.2892,121.4247,54.73,75,94,1.72,CN,2021-12-08 18:50:34
244,Isangel,-19.55,169.2667,77.11,100,40,0.0,VU,2021-12-08 18:49:53
245,Bambous Virieux,-20.3428,57.7575,79.05,73,40,6.91,MU,2021-12-08 18:50:34
246,Harlingen,26.1906,-97.6961,76.91,73,90,8.05,US,2021-12-08 18:47:15
247,Honiara,-9.4333,159.95,78.55,91,100,3.49,SB,2021-12-08 18:50:03
248,Xuanhua,40.6103,115.0447,31.57,61,100,3.94,CN,2021-12-08 18:50:35
249,Kaniama,-7.5667,24.1833,67.42,95,100,1.25,CD,2021-12-08 18:50:35
250,Soe,-9.8607,124.284,67.12,91,100,2.19,ID,2021-12-08 18:50:36
251,Victoria Point,-27.5833,153.3,69.91,96,1,1.01,AU,2021-12-08 18:50:36
252,Yellowknife,62.456,-114.3525,6.42,89,90,10.36,CA,2021-12-08 18:50:36
253,Chau Doc,10.7,105.1167,72.9,82,100,6.17,VN,2021-12-08 18:50:36
