City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Description
58,Tasiilaq,65.6145,-37.6368,28.99,87,100,26.93,GL,2021-12-10 18:41:44,overcast clouds
59,Troitsko-Pechorsk,62.7084,56.1964,12.97,89,86,9.4,RU,2021-12-10 18:41:44,overcast clouds
60,Kyra,49.5776,111.9753,7.68,72,100,4.79,RU,2021-12-10 18:41:45,overcast clouds
61,Hasaki,35.7333,140.8333,35.89,72,0,8.84,JP,2021-12-10 18:32:01,clear sky
62,Bluff,-46.6,168.3333,55.8,80,100,9.55,NZ,2021-12-10 18:40:50,overcast clouds
63,Ferkessedougou,9.6,-5.2,82.72,14,95,4.27,CI,2021-12-10 18:41:45,overcast clouds
64,Portland,45.5234,-122.6762,44.62,91,90,1.99,US,2021-12-10 18:39:55,overcast clouds
65,Port Lincoln,-34.7333,135.8667,56.59,83,8,12.21,AU,2021-12-10 18:38:26,clear sky
66,Ekibastuz,51.6667,75.3667,14.49,69,16,7.18,KZ,2021-12-10 18:41:46,few clouds
67,Cradock,-32.1642,25.6192,71.89,60,100,13.13,ZA,2021-12-10 18:41:46,light rain
68,Kingsland,30.8,-81.6898,80.73,79,95,4.16,US,2021-12-10 18:41:46,overcast clouds
69,Khandyga,62.6667,135.6,-9.45,99,100,2.33,RU,2021-12-10 18:36:09,overcast clouds
70,Malanje,-9.5402,16.341,66.22,96,100,2.35,AO,2021-12-10 18:41:47,light rain
71,Mataura,-46.1927,168.8643,55.47,88,100,2.35,NZ,2021-12-10 18:40:53,overcast clouds
72,Bodden Town,19.2833,-81.25,84.2,73,40,7.0,KY,2021-12-10 18:41:47,scattered clouds
73,Vaini,-21.2,-175.2,77.16,88,20,6.91,TO,2021-12-10 18:41:10,few clouds
74,Mahebourg,-20.4081,57.7,78.26,78,40,5.75,MU,2021-12-10 18:31:59,scattered clouds
75,Dikson,73.5069,80.5464,-22.16,89,100,3.65,RU,2021-12-10 18:41:48,overcast clouds
76,Carnarvon,-24.8667,113.6333,71.67,73,0,19.57,AU,2021-12-10 18:37:37,clear sky
77,Chapais,49.7834,-74.8492,15.58,94,100,9.8,CA,2021-12-10 18:32:29,light snow
78,Vallenar,-28.5708,-70.7581,77.45,33,0,11.54,CL,2021-12-10 18:32:23,clear sky
79,Kapoeta,4.7717,33.5903,88.43,28,7,14.9,SS,2021-12-10 18:41:49,clear sky
80,East Hampton,37.0374,-76.3316,55.47,81,90,1.01,US,2021-12-10 18:41:49,overcast clouds
81,Iracoubo,5.4802,-53.2011,78.24,88,100,8.93,GF,2021-12-10 18:41:49,overcast clouds
82,Busselton,-33.65,115.3333,56.08,86,34,5.01,AU,2021-12-10 18:40:49,scattered clouds
83,Fortuna,40.5982,-124.1573,47.98,67,45,1.01,US,2021-12-10 18:37:35,scattered clouds
84,Pangnirtung,66.1451,-65.7125,3.2,85,90,10.36,CA,2021-12-10 18:41:50,light snow
85,Faanui,-16.4833,-151.75,81.43,68,13,15.59,PF,2021-12-10 18:37:23,few clouds
86,Guerrero Negro,27.9769,-114.0611,64.78,65,97,16.73,MX,2021-12-10 18:37:19,overcast clouds
87,Libertador General San Martin,-23.8064,-64.7876,95.97,31,78,6.17,AR,2021-12-10 18:41:50,broken clouds
88,College,64.8569,-147.8028,12.15,83,75,6.91,US,2021-12-10 18:41:51,light snow
89,Karakol,42.4907,78.3936,16.86,54,5,7.56,KG,2021-12-10 18:41:51,clear sky
90,Paamiut,61.994,-49.6678,19.74,87,100,9.86,GL,2021-12-10 18:35:19,overcast clouds
91,Ayagoz,47.9714,80.4392,0.28,77,0,6.69,KZ,2021-12-10 18:41:56,clear sky
92,Nanortalik,60.1432,-45.2371,27.59,81,100,8.99,GL,2021-12-10 18:37:36,overcast clouds
93,Owando,-0.4819,15.8999,75.78,81,100,2.89,CG,2021-12-10 18:41:57,light rain
94,Jamestown,42.097,-79.2353,53.29,70,1,9.22,US,2021-12-10 18:38:31,clear sky
95,Dingle,10.9995,122.6711,76.15,94,100,10.8,PH,2021-12-10 18:32:27,overcast clouds
96,Ulladulla,-35.35,150.4667,59.09,71,84,18.32,AU,2021-12-10 18:36:18,light rain
97,Bredasdorp,-34.5322,20.0403,67.32,83,56,2.3,ZA,2021-12-10 18:37:22,broken clouds
98,Tura,25.5198,90.2201,60.21,55,0,2.59,IN,2021-12-10 18:41:58,clear sky
99,Provideniya,64.3833,-173.3,-8.21,89,9,10.69,RU,2021-12-10 18:37:20,clear sky
100,Tukrah,32.5341,20.5791,61.36,54,63,6.85,LY,2021-12-10 18:41:58,broken clouds
101,New Norfolk,-42.7826,147.0587,53.1,78,100,1.01,AU,2021-12-10 18:41:02,overcast clouds
102,East London,-33.0153,27.9116,76.14,78,75,6.91,ZA,2021-12-10 18:38:15,thunderstorm
103,Dunedin,-45.8742,170.5036,53.8,91,100,5.99,NZ,2021-12-10 18:41:59,light rain
104,Bandarbeyla,9.4942,50.8122,76.71,73,4,19.1,SO,2021-12-10 18:41:59,clear sky
105,Meadow Lake,34.8014,-106.5436,50.68,42,70,30.85,US,2021-12-10 18:32:52,broken clouds
106,Airai,-8.9266,125.4092,61.12,90,68,0.74,TL,2021-12-10 18:41:59,broken clouds
107,Skjervoy,70.0311,20.9714,30.2,65,100,9.6,NO,2021-12-10 18:39:10,overcast clouds
108,Ankpa,7.3706,7.6253,79.3,22,69,2.08,NG,2021-12-10 18:42:00,broken clouds
109,Lavrentiya,65.5833,-171.0,-11.96,83,59,8.86,RU,2021-12-10 18:35:56,broken clouds
110,Egvekinot,66.3167,-179.1667,-20.99,81,24,6.8,RU,2021-12-10 18:37:24,few clouds
111,Castro,-24.7911,-50.0119,77.85,38,0,6.29,BR,2021-12-10 18:42:00,clear sky
112,Khatanga,71.9667,102.5,-35.95,100,100,5.59,RU,2021-12-10 18:42:01,overcast clouds
113,Kiama,-34.6833,150.8667,59.45,77,100,5.99,AU,2021-12-10 18:32:44,overcast clouds
114,Maniitsoq,65.4167,-52.9,21.16,57,14,4.99,GL,2021-12-10 18:42:01,few clouds
115,Kruisfontein,-34.0033,24.7314,70.88,88,6,2.19,ZA,2021-12-10 18:37:59,clear sky
116,Praya,14.9215,-23.5087,75.74,64,49,20.71,CV,2021-12-10 18:32:28,scattered clouds
117,Ziro,27.6333,93.8333,39.38,91,6,2.75,IN,2021-12-10 18:42:02,clear sky
118,High Level,58.5169,-117.136,-12.89,84,75,0.0,CA,2021-12-10 18:38:36,broken clouds
119,Mangan,27.5167,88.5333,52.2,58,1,7.0,IN,2021-12-10 18:42:02,clear sky
120,Korla,41.7597,86.1469,22.59,63,0,1.95,CN,2021-12-10 18:42:03,clear sky
121,Hvide Sande,56.0045,8.1294,36.0,76,100,6.78,DK,2021-12-10 18:42:03,overcast clouds
122,Tessalit,20.1986,1.0114,72.66,7,100,9.04,ML,2021-12-10 18:39:33,overcast clouds
123,Russell,32.3502,-85.1999,67.05,93,90,0.0,US,2021-12-10 18:36:27,overcast clouds
124,Lamu,-2.2717,40.902,82.62,79,3,11.07,KE,2021-12-10 18:42:05,clear sky
125,Chudovo,59.1167,31.6833,19.22,76,100,10.69,RU,2021-12-10 18:42:05,overcast clouds
126,Finschhafen,-6.6024,147.8681,80.26,82,84,6.11,PG,2021-12-10 18:42:05,broken clouds
127,Nouadhibou,20.931,-17.0347,71.58,60,61,10.36,MR,2021-12-10 18:42:05,broken clouds
128,Villa Maria,-32.4075,-63.2402,82.44,39,27,9.71,AR,2021-12-10 18:37:16,scattered clouds
129,Chokurdakh,70.6333,147.9167,-47.04,100,70,3.36,RU,2021-12-10 18:42:06,broken clouds
130,Saint George,37.1041,-113.5841,46.94,44,1,1.99,US,2021-12-10 18:42:06,clear sky
131,Lunglei,22.8833,92.7333,56.82,95,3,2.55,IN,2021-12-10 18:40:00,clear sky
132,Komsomolskiy,40.4272,71.7189,33.22,69,74,4.61,UZ,2021-12-10 18:42:07,haze
133,Hilo,19.7297,-155.09,75.61,43,75,0.0,US,2021-12-10 18:40:55,broken clouds
134,Severo-Kurilsk,50.6789,156.125,31.98,84,13,2.17,RU,2021-12-10 18:37:28,few clouds
135,Zverinogolovskoye,54.4586,64.8542,11.05,89,100,4.07,RU,2021-12-10 18:42:07,overcast clouds
136,Graaff-Reinet,-32.2522,24.5308,78.93,48,87,12.1,ZA,2021-12-10 18:42:08,light rain
137,Marzuq,14.4,46.4667,58.71,35,0,2.59,YE,2021-12-10 18:42:08,clear sky
138,Mungaa,-4.9667,34.8833,71.73,47,89,8.52,TZ,2021-12-10 18:42:13,overcast clouds
139,Melnikovo,56.5558,84.085,12.16,93,100,10.22,RU,2021-12-10 18:42:15,overcast clouds
140,Rocha,-34.4833,-54.3333,74.71,47,94,13.82,UY,2021-12-10 18:37:26,overcast clouds
141,Salalah,17.0151,54.0924,80.69,24,0,10.36,OM,2021-12-10 18:42:15,clear sky
142,Joao Neiva,-19.7575,-40.3856,81.41,73,66,6.55,BR,2021-12-10 18:42:15,broken clouds
143,Shaoxing,30.011,120.5715,48.15,81,0,2.26,CN,2021-12-10 18:42:16,clear sky
144,Kodiak,57.79,-152.4072,27.91,54,75,20.71,US,2021-12-10 18:41:04,broken clouds
145,Broken Hill,-31.95,141.4333,55.11,47,0,5.75,AU,2021-12-10 18:42:17,clear sky
146,Villa Carlos Paz,-31.4241,-64.4978,69.89,40,89,5.01,AR,2021-12-10 18:41:33,overcast clouds
147,Rio Grande,-32.035,-52.0986,75.31,64,91,11.39,BR,2021-12-10 18:42:18,overcast clouds
148,Kavieng,-2.5744,150.7967,82.36,80,100,12.88,PG,2021-12-10 18:41:03,moderate rain
149,Nabha,30.3747,76.1486,55.71,49,0,5.86,IN,2021-12-10 18:42:19,clear sky
150,Odweyne,9.4092,45.064,60.85,73,37,11.45,SO,2021-12-10 18:42:19,scattered clouds
151,Kaitangata,-46.2817,169.8464,57.92,77,100,3.62,NZ,2021-12-10 18:42:20,overcast clouds
152,Xingyi,24.1877,102.817,48.25,96,0,3.09,CN,2021-12-10 18:42:20,clear sky
